YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
453,563,HHTA1B          ,869.375,834.375,86.333,0.667,664.989,97.351,0.038,0.396,1.39,0.043
435,549,HHTA1B          ,859.875,832.125,98.312,1.688,673.618,68.201,0.044,0.394,1.37,0.045
393,516,HHTA1B          ,874.625,841.125,94.853,0,666.955,87.569,0.038,0.388,1.32,0.045
391,506,HHTA1B          ,877.875,841.625,86.945,0,629.068,94.805,0.041,0.393,1.33,0.042
410,526,HHTA1B          ,866.625,846.875,99.364,0,636.952,89.684,0.038,0.388,1.32,0.045
337,470,HDR09C          ,863.625,826.875,95.732,1.016,638.396,93.535,0.045,0.328,1.01,0.001
424,547,HHTA1B          ,877.625,838.375,94.074,0,677.643,97.417,0.037,0.397,1.33,0.043
518,664,HHTA1B          ,866.75,821,99.259,0.247,645.653,92.402,0.043,0.396,1.35,0.043
516,664,HHTA1B          ,866.75,821,99.259,0.247,645.653,92.402,0.043,0.396,1.35,0.043
381,502,HHTA1B          ,867.5,832.375,97.458,1.412,630.826,85.593,0.038,0.395,1.38,0.047
388,510,HHTA1B          ,864.25,834.75,99.72,0.28,647.881,86.798,0.038,0.395,1.38,0.047
388,516,HHTA1B          ,862.75,832.625,98.113,1.887,668.172,83.835,0.043,0.398,1.33,0.043
379,513,HHTA1B          ,858.125,828.375,90.625,9.375,662.614,97.276,0.041,0.39,1.33,0.046
403,541,HHTA1B          ,873.75,843,78.864,0,674.278,73.354,0.045,0.393,1.35,0.043
323,463,HDR09C          ,861.875,839.25,98.431,0,686.055,95.313,0.045,0.323,0.96,0.001
390,525,HHTA1B          ,870.5,840.625,91.532,0,689.92,91.968,0.038,0.39,1.3,0.043
369,491,HHTA1B          ,856.5,826.125,99.612,0.388,671.312,89.535,0.042,0.398,1.4,0.043
369,491,HHTA1B          ,856.5,826.125,99.612,0.388,671.312,89.535,0.042,0.398,1.4,0.043
355,485,HDR09C          ,859.875,824.625,99.222,0.778,642.987,96.512,0.045,0.338,1,0.001
400,526,HHTA1B          ,866.625,829.625,92.214,6.326,634.15,88.434,0.04,0.401,1.37,0.042
