YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
387,520,HHTA1B          ,866,836.375,99.296,0,686.67,97.561,0.04,0.39,1.36,0.047
411,542,HHTA1B          ,867.375,848.25,95.818,0,688.545,93.182,0.045,0.395,1.35,0.042
415,543,HHTA1B          ,871,842,94.425,0,644.508,94.774,0.04,0.383,1.32,0.048
394,525,HHTA1B          ,867.5,830.875,93.385,5.837,690.803,94.981,0.045,0.384,1.32,0.046
404,523,HHTA1B          ,861.125,830.875,99.591,0.409,635.028,89.366,0.045,0.385,1.35,0.04
469,564,HHTA1B          ,866.5,816.375,97.771,0.318,656.42,89.1,0.044,0.39,1.35,0.045
425,545,HHTA1B          ,876,842.375,87.129,0,633.335,98.28,0.045,0.402,1.38,0.047
454,566,HHTA1B          ,869,828.125,92.558,4.186,693.368,94.444,0.04,0.384,1.32,0.04
404,537,HHTA1B          ,873.375,834.875,89.56,0.549,689.74,83.978,0.045,0.394,1.35,0.043
431,551,HHTA1B          ,881.375,822.125,93.925,2.336,693.373,88.785,0.045,0.397,1.3,0.043
374,507,HHTA1B          ,904.75,844.125,92.593,0.463,685.839,91.244,0.043,0.407,1.35,0.041
453,554,HHTA1B          ,872.25,835.25,71.579,28.421,634.817,95.637,0.043,0.389,1.33,0.05
450,564,HHTA1B          ,878,836.25,95.261,1.185,622.744,99.765,0.033,0.386,1.32,0.043
456,553,HHTA1B          ,871.375,803.75,99.409,0.118,648.979,91.895,0.038,0.382,1.31,0.044
443,548,HHTA1B          ,870.875,843.125,86.056,0,639.208,92.899,0.044,0.39,1.35,0.045
443,547,HHTA1B          ,874.625,804.75,81.507,0.228,651.322,93.439,0.045,0.377,1.3,0.048
392,520,HHTA1B          ,884.375,806.5,57.208,0.229,636.735,99.091,0.04,0.395,1.34,0.046
336,476,HDR09C          ,864,822.75,89.951,6.863,649.855,91.484,0.045,0.33,1.01,0.001
452,554,HHTA1B          ,876.125,853.625,98.425,0,687.403,58.824,0.045,0.378,1.31,0.045
422,552,HHTA1B          ,889.625,855.875,81.191,0,669.777,90.062,0.043,0.389,1.33,0.05
381,521,HHTA1B          ,888.875,848.375,88.327,1.946,691.347,97.287,0.043,0.396,1.38,0.04
306,456,HHTA1B          ,876.5,835.875,93.411,0,693.881,90.348,0.045,0.384,1.32,0.046
456,516,HHTA1B          ,876.5,835.875,93.411,0,693.881,90.348,0.045,0.384,1.32,0.046
495,654,HHTA1B          ,864.625,835.375,100,0,686.89,96.212,0.04,0.395,1.4,0.045
374,511,HHTA1B          ,866.875,835.5,98.296,0,634.383,96.901,0.038,0.388,1.32,0.045
438,564,HHTA1B          ,874.375,843.125,80.667,0,623.755,98.899,0.045,0.393,1.35,0.043
400,509,HHTA1B          ,844.75,818.5,39.01,60.99,652.098,89.37,0.044,0.396,1.37,0.043
431,539,HHTA1B          ,871.5,819.5,94.937,0.253,641.032,96.241,0.042,0.396,1.35,0.045
366,508,HHTA1B          ,868.625,837,91.401,0,676.743,95.57,0.037,0.39,1.33,0.045
416,508,HHTA1B          ,868.625,837,91.401,0,676.743,95.57,0.037,0.39,1.33,0.045
391,521,HHTA1B          ,880.5,843.375,77.931,0,643.249,97.955,0.04,0.395,1.34,0.046
383,511,HHTA1B          ,875.875,814.875,78.032,0.229,633.773,99.318,0.04,0.395,1.4,0.045
402,523,HHTA1B          ,881,839.875,67.259,0,641.176,93.467,0.042,0.396,1.35,0.045
325,479,HDR09C          ,862.25,827,94.977,3.653,671.031,81.364,0.037,0.33,1,0.001
404,523,HHTA1B          ,860.75,826,99.793,0.207,631.407,92.197,0.045,0.385,1.35,0.04
357,468,HDR09C          ,872.25,835.5,94.609,0,631.108,91.958,0.045,0.325,0.96,0.001
442,566,HHTA1B          ,883,826.125,73.148,19.444,683.493,94.907,0.044,0.396,1.36,0.042
474,587,HHTA1B          ,877.375,843.625,94.884,0,689.851,96.279,0.041,0.387,1.3,0.045
420,547,HHTA1B          ,879.125,836.625,93.982,0,692.206,55.814,0.041,0.387,1.3,0.045
419,545,HHTA1B          ,868.375,844,96.759,0,689.596,94.884,0.043,0.407,1.35,0.041
413,545,HHTA1B          ,877.875,840,97.183,0,694.231,94.836,0.038,0.386,1.34,0.043
468,580,HHTA1B          ,868,836,99.07,0,692.753,92.093,0.045,0.391,1.35,0.042
410,537,HHTA1B          ,874.25,832.25,96.279,1.86,693.717,81.395,0.043,0.407,1.35,0.041
412,537,HHTA1B          ,879.875,841.875,95.353,0.186,617.764,91.328,0.033,0.402,1.36,0.041
444,551,HHTA1B          ,876,844,99.297,0.176,632.888,97.038,0.043,0.396,1.38,0.04
429,532,HHTA1B          ,873.625,835.125,57.941,42.059,634.284,97.028,0.043,0.396,1.38,0.04
455,554,HHTA1B          ,877.75,843.25,98.158,0.263,627.866,94.503,0.044,0.385,1.3,0.044
432,535,HHTA1B          ,870.625,831.25,97.189,0.134,648.694,94.408,0.045,0.387,1.31,0.041
451,555,HHTA1B          ,877.375,848.75,97.778,0,688.634,48.34,0.045,0.385,1.35,0.045
446,565,HHTA1B          ,877.875,848.625,67.931,0,659.467,95.533,0.045,0.386,1.33,0.048
438,550,HHTA1B          ,866.125,835.75,97.586,0,651.028,94.178,0.045,0.386,1.33,0.048
367,497,HHTA1B          ,868.5,831.375,94.186,2.035,677.496,96.243,0.027,0.393,1.36,0.044
367,497,HHTA1B          ,868.5,831.375,94.186,2.035,677.496,96.243,0.027,0.393,1.36,0.044
441,540,HHTA1B          ,869.875,842.5,94.504,0,634.554,100,0.044,0.396,1.37,0.043
408,553,HHTA1B          ,881.375,842.125,75.305,0,683.297,80.363,0.045,0.395,1.35,0.042
424,534,HHTA1B          ,872.875,838,91.052,0,650.645,96.719,0.044,0.396,1.37,0.043
406,523,HHTA1B          ,868.25,834.75,98.476,0.19,641.16,93.939,0.04,0.395,1.4,0.045
404,524,HHTA1B          ,869.5,834.625,96.941,0.191,639.532,98.106,0.04,0.395,1.4,0.045
415,525,HHTA1B          ,865.75,829.25,99.117,0.177,644.109,98.239,0.044,0.396,1.37,0.043
400,526,HHTA1B          ,874.75,826.75,69.909,0.304,670.658,91.843,0.041,0.39,1.35,0.046
387,521,HHTA1B          ,864.625,835.375,100,0,686.89,96.212,0.04,0.395,1.4,0.045
393,524,HHTA1B          ,866.125,827.5,94.297,4.563,685.848,85.606,0.04,0.395,1.34,0.046
418,541,HHTA1B          ,863.5,836,100,0,683.88,81.413,0.041,0.39,1.35,0.046
391,514,HHTA1B          ,883,846.75,72.381,0,686.872,94.313,0.042,0.393,1.4,0.043
329,473,HDR09C          ,864.125,815.125,59.706,38.529,669.017,99.415,0.045,0.339,1,0.001
351,487,HHTA1B          ,868,833.5,95.073,0.58,674.092,93.41,0.027,0.393,1.36,0.044
402,528,HHTA1B          ,876.625,843,95.223,0,679.62,88.959,0.037,0.39,1.33,0.045
384,517,HHTA1B          ,876.25,824.375,98.488,0.756,650.106,88.534,0.033,0.402,1.36,0.041
411,531,HHTA1B          ,873,830.25,99.649,0.351,640.007,96.51,0.033,0.402,1.36,0.041
397,527,HHTA1B          ,909.625,854.125,81.25,1.339,678.214,62.667,0.042,0.389,1.34,0.043
452,548,HHTA1B          ,874.25,827.125,90.154,9.371,646.163,97.862,0.034,0.38,1.3,0.044
442,536,HHTA1B          ,873.25,813.625,96.8,0.133,628.967,95.6,0.036,0.402,1.37,0.048
318,454,HDR09C          ,862.5,822.75,95.308,2.933,676.312,94.152,0.045,0.339,1,0.001
312,457,HDR09C          ,867.125,815.875,60.692,35.535,671.563,98.75,0.039,0.334,0.99,0.001
439,577,HHTA1B          ,872.125,835.5,99.649,0.351,637.015,95.07,0.033,0.386,1.32,0.043
429,543,HHTA1B          ,872.125,835.5,99.649,0.351,637.015,95.07,0.033,0.386,1.32,0.043
388,511,HHTA1B          ,874,833.875,84.859,1.408,669.853,96.842,0.034,0.38,1.3,0.044
322,460,HDR09C          ,857.5,822.875,75.786,24.214,679.376,97.819,0.045,0.325,0.96,0.001
410,525,HHTA1B          ,870,835.25,96.359,0,628.644,99.518,0.042,0.408,1.35,0.043
456,552,HHTA1B          ,872.125,823.75,96.524,0.267,639.704,98.531,0.045,0.387,1.31,0.041
416,528,HHTA1B          ,871.75,833.625,89.044,0.199,646.049,95.652,0.044,0.396,1.37,0.043
471,558,HHTA1B          ,870,843,96.97,0,643.723,98.405,0.042,0.396,1.35,0.045
400,526,HHTA1B          ,874.75,826.75,69.909,0.304,670.658,91.843,0.041,0.39,1.35,0.046
491,604,HHTA1B          ,867.875,848.625,93.471,0,661.136,77.74,0.045,0.405,1.37,0.046
479,604,HHTA1B          ,867.875,848.625,93.471,0,661.136,77.74,0.045,0.405,1.37,0.046
437,547,HHTA1B          ,872.75,836.875,87.819,0,633.02,100,0.042,0.396,1.37,0.047
399,522,HHTA1B          ,871.75,841.625,85.882,0,644.284,98.542,0.045,0.401,1.37,0.046
332,468,HDR09C          ,860.625,840.75,98.425,0,668.488,92.126,0.045,0.339,1,0.001
422,546,HHTA1B          ,866.625,834.75,98.508,0.373,682.939,89.591,0.041,0.39,1.35,0.046
404,525,HHTA1B          ,867.5,838.125,97.03,0,693.61,97.03,0.042,0.393,1.4,0.043
382,506,HHTA1B          ,858.25,821.375,62.069,37.931,696.156,75.248,0.042,0.393,1.4,0.043
398,516,HHTA1B          ,875.5,822.125,54.68,44.828,690.973,93.137,0.042,0.393,1.4,0.043
403,521,HHTA1B          ,875.5,821.875,85.294,14.216,694.082,92.647,0.042,0.393,1.4,0.043
389,513,HHTA1B          ,865.75,834.5,99.074,0.463,687.172,92.13,0.04,0.396,1.38,0.045
490,603,HHTA1B          ,869.625,841.5,91.852,0,672.484,91.177,0.044,0.396,1.36,0.042
358,491,HHTA1B          ,863.875,839,100,0,668.702,96.667,0.027,0.393,1.36,0.044
460,576,HHTA1B          ,882.625,834.625,80.285,11.164,620.101,99.764,0.045,0.403,1.32,0.046
433,543,HHTA1B          ,881,829.375,95.227,1.193,628.915,98.582,0.033,0.386,1.32,0.043
377,509,HHTA1B          ,878.125,837.625,87.464,0,670.393,89.595,0.04,0.39,1.36,0.047
411,531,HHTA1B          ,870.75,831.625,90.698,2.326,683.525,96.254,0.04,0.39,1.36,0.047
446,571,HHTA1B          ,875,830.375,68.987,30.696,678.239,81.132,0.043,0.389,1.33,0.05
446,543,HHTA1B          ,866.125,826.75,99.109,0.445,658.167,84.956,0.044,0.408,1.38,0.046
328,459,HDR09C          ,856.25,831.5,100,0,672.094,83.904,0.041,0.325,0.99,0.001
334,476,HDR09C          ,861.625,836.625,96.721,0,668.479,93.061,0.045,0.357,1.1,0.001
457,575,HHTA1B          ,870.75,842.5,96.207,0,650.809,93.471,0.045,0.405,1.37,0.046
449,581,HHTA1B          ,878.5,843.25,98.4,0.4,696.508,90.837,0.045,0.384,1.32,0.046
453,579,HHTA1B          ,873.5,833.75,69.88,30.121,685.677,86,0.045,0.384,1.32,0.046
392,514,HHTA1B          ,879.5,846.625,88.827,0,637.989,86.704,0.045,0.38,1.3,0.043
325,460,HDR09C          ,866.125,835.375,92.164,0,676.359,98.513,0.04,0.33,0.97,0.001
338,482,HDR09C          ,852.625,827.5,98.771,1.23,670.255,96.748,0.045,0.357,1.1,0.001
311,462,HDR09C          ,860.125,824.875,90.282,9.404,659.251,88.679,0.038,0.34,1,0.001
305,458,HDR09C          ,865.375,826.75,85.032,3.822,671.947,95.253,0.045,0.325,0.96,0.001
401,538,HHTA1B          ,864.875,845.375,100,0,648.845,95.76,0.04,0.383,1.32,0.048
424,549,HHTA1B          ,867.875,836,98,0,652.25,81.673,0.04,0.401,1.4,0.05
425,543,HHTA1B          ,863.75,826.875,65.945,34.055,640.354,90.625,0.045,0.401,1.37,0.046
365,502,HDR09C          ,855.5,816.75,55.975,44.025,671.454,97.5,0.039,0.334,0.99,0.001
422,529,HHTA1B          ,877,847.625,97.93,0,636.636,93.416,0.039,0.393,1.34,0.046
467,591,HHTA1B          ,880.625,838.5,83.492,9.841,667.193,95.283,0.045,0.403,1.32,0.046
382,523,HHTA1B          ,882.625,842.75,73.828,23.438,683.819,83.269,0.043,0.396,1.38,0.04
443,547,HHTA1B          ,873.75,832.625,85.286,0.817,635.747,81.892,0.043,0.393,1.36,0.044
415,525,HHTA1B          ,873,842,89.313,0,653.65,95.455,0.04,0.395,1.34,0.046
336,477,HDR09C          ,850.875,831.75,100,0,662.855,92.793,0.045,0.33,0.96,0.002
331,474,HDR09C          ,859.75,821.25,72.556,27.444,666.533,90.637,0.045,0.357,1.1,0.001
441,556,HHTA1B          ,869.5,831.125,93.023,0.93,682.662,91.628,0.043,0.407,1.35,0.041
450,576,HHTA1B          ,867.375,843.625,99.065,0,689.745,79.907,0.045,0.397,1.3,0.043
422,525,HHTA1B          ,869.25,818.75,98.466,0.279,633.614,99.861,0.041,0.401,1.4,0.042
426,503,HHTA1B          ,879.875,833.125,96.234,0.279,651.392,58.554,0.041,0.401,1.4,0.042
442,562,HHTA1B          ,870.75,839.125,86.59,0,693.807,94.657,0.045,0.377,1.3,0.048
460,562,HHTA1B          ,872.625,840.25,74.462,0,632.297,98.931,0.045,0.377,1.3,0.048
404,540,HHTA1B          ,873.75,853,100,0,690.829,57.277,0.045,0.397,1.3,0.043
356,496,HHTA1B          ,868,833.5,95.073,0.58,674.092,93.41,0.027,0.393,1.36,0.044
396,521,HHTA1B          ,884.125,840.25,87.204,2.37,688.136,75,0.042,0.396,1.35,0.045
450,561,HHTA1B          ,870.375,828.125,89.299,7.011,679.066,91.177,0.041,0.387,1.3,0.045
473,586,HHTA1B          ,865.375,825.875,87.085,12.546,676.527,91.912,0.04,0.384,1.32,0.04
413,546,HHTA1B          ,891.75,858.5,95.703,0,694.756,92.218,0.043,0.389,1.33,0.05
348,490,HDR09C          ,854.25,817.25,81.116,18.884,674.223,93.103,0.034,0.341,1.05,0.001
387,535,HHTA1B          ,882.5,834.875,50.196,49.804,683.129,94.163,0.043,0.396,1.38,0.04
469,579,HHTA1B          ,887.25,846.375,96.313,0,695.278,92.166,0.04,0.378,1.31,0.043
396,535,HHTA1B          ,887.875,847.25,90.234,1.563,693.864,95.331,0.043,0.389,1.33,0.05
424,549,HHTA1B          ,875.5,844.375,80.934,19.066,687.087,98.444,0.033,0.386,1.32,0.043
431,557,HHTA1B          ,874.625,847,100,0,687.202,92.627,0.045,0.397,1.3,0.043
317,458,HDR09C          ,866.875,821.25,68.868,14.151,669.431,69.063,0.045,0.325,0.96,0.001
327,465,HDR09C          ,864,836.375,97.458,0,681.235,97.468,0.045,0.325,0.96,0.001
404,529,HHTA1B          ,874.25,850,100,0,695.823,53.738,0.045,0.381,1.32,0.041
416,541,HHTA1B          ,865,824.375,96.262,3.271,692.909,89.252,0.045,0.381,1.32,0.041
340,478,HDR09C          ,866.75,826.75,95.541,0.637,681.874,98.107,0.038,0.34,1,0.001
331,373,HDR09C          ,856.125,821.25,73.235,26.765,679.467,90.059,0.038,0.34,1,0.001
331,473,HDR09C          ,856.125,821.25,73.235,26.765,679.467,90.059,0.038,0.34,1,0.001
390,516,HHTA1B          ,867.5,811.375,96.053,0.219,627.974,97.391,0.04,0.39,1.36,0.047
413,517,HHTA1B          ,860.25,828,99.794,0.206,634.374,99.796,0.045,0.385,1.35,0.04
382,506,HHTA1B          ,858.25,821.375,62.069,37.931,696.156,75.248,0.042,0.393,1.4,0.043
389,509,HHTA1B          ,869.125,838.625,99.297,0,642.247,96.52,0.037,0.41,1.36,0.044
425,551,HHTA1B          ,878.25,851.625,73.063,0,677.011,92.674,0.04,0.384,1.32,0.04
404,529,HHTA1B          ,870.75,843.875,93.617,0,678.743,84.894,0.045,0.395,1.35,0.042
416,541,HHTA1B          ,870.75,831,83.582,0.373,682.93,95.131,0.041,0.39,1.35,0.046
415,516,HHTA1B          ,862,792.125,79.089,20.912,633.107,92.598,0.036,0.406,1.4,0.049
334,468,HDR09C          ,866.375,822.625,76.176,16.928,663.979,91.536,0.038,0.34,1,0.001
424,536,HHTA1B          ,873.5,835.5,98.605,0,691.875,91.204,0.045,0.391,1.35,0.042
496,592,HHTA1B          ,869.375,846,95.149,0,678.738,80.297,0.04,0.378,1.31,0.043
348,482,HDR09C          ,864,826.375,89.212,8.299,676.764,78.099,0.041,0.342,1,0.001
411,537,HHTA1B          ,868.625,844.125,93.704,0,679.616,89.668,0.045,0.382,1.33,0.044
456,577,HHTA1B          ,875.125,837.25,89.259,0,685.99,90.809,0.041,0.387,1.3,0.045
430,567,HHTA1B          ,869.5,843.75,94.424,0,674.856,86.667,0.044,0.393,1.4,0.05
377,519,HHTA1B          ,880.875,840.5,86.94,0,672.414,80.37,0.044,0.393,1.4,0.05
452,550,HHTA1B          ,877.25,833.5,93.611,0.833,652.272,89.779,0.041,0.387,1.3,0.045
426,525,HHTA1B          ,879.875,835,89.722,0,655.864,90.909,0.045,0.391,1.35,0.042
374,508,HHTA1B          ,888.375,831.375,72.685,21.296,688.737,83.871,0.044,0.396,1.36,0.042
414,544,HHTA1B          ,867.5,819.75,96.154,2.747,688.577,90.055,0.045,0.394,1.35,0.043
387,515,HHTA1B          ,885.625,847.125,88.263,0,686.626,88.785,0.038,0.386,1.34,0.043
308,468,HDR09C          ,861.125,834.75,98.101,0,672.512,97.492,0.038,0.34,1,0.001
323,460,HDR09C          ,850.875,829.125,99.403,0.597,677.704,63.905,0.045,0.325,0.96,0.001
387,527,HHTA1B          ,874.875,834.875,95.33,0.161,644.375,98.392,0.044,0.385,1.32,0.041
357,483,HDR09C          ,867.875,840.5,81.445,0,650.209,95.349,0.045,0.329,0.98,0.001
424,540,HHTA1B          ,873.125,844.25,82.039,0,632.952,99.757,0.043,0.398,1.33,0.043
447,550,HHTA1B          ,872.375,835.875,92.271,0,627.528,97.362,0.043,0.392,1.34,0.044
448,556,HHTA1B          ,880.125,840.5,79.369,0,638.58,99.759,0.038,0.396,1.39,0.043
423,535,HHTA1B          ,873.125,825.875,89.855,0.242,628.796,96.643,0.04,0.401,1.37,0.042
428,541,HHTA1B          ,872.125,835.375,87.94,0,628.969,97.756,0.043,0.392,1.34,0.044
360,480,HDR09C          ,865.625,830.5,85.177,0,643.575,90.187,0.045,0.323,0.96,0.001
395,513,HHTA1B          ,870.75,843.75,89.415,0,635.925,99.444,0.043,0.398,1.33,0.043
431,536,HHTA1B          ,875.75,845.625,85.054,0,656.52,85.676,0.045,0.383,1.34,0.044
470,586,HHTA1B          ,874.375,842.5,84.483,0,656.026,83.219,0.045,0.405,1.37,0.046
452,566,HHTA1B          ,871.75,831.875,89.299,4.428,679.72,92.279,0.044,0.396,1.36,0.042
447,560,HHTA1B          ,879.625,830.875,94.787,0.474,627.6,99.059,0.043,0.389,1.33,0.05
459,564,HHTA1B          ,886.125,845.25,78.333,0,622.797,92.689,0.033,0.386,1.32,0.043
407,536,HHTA1B          ,872,837.875,93.156,0,690.259,68.441,0.045,0.395,1.35,0.042
405,531,HHTA1B          ,865.375,839,99.163,0,688.955,90.377,0.042,0.396,1.35,0.045
356,492,HDR09C          ,857.25,828.25,99.804,0.196,650.213,97.271,0.036,0.332,0.97,0.002
382,501,HHTA1B          ,869.875,826,90.634,0.302,659.297,77.177,0.045,0.394,1.39,0.042
304,447,HDR09C          ,863,825,88.194,9.722,666.049,96.54,0.045,0.339,1,0.001
309,461,HDR09C          ,853.125,822.5,87.713,12.287,670.8,93.537,0.045,0.339,1,0.001
457,555,HHTA1B          ,861.625,811.375,99.679,0.321,635.702,92.026,0.044,0.39,1.35,0.045
387,505,HHTA1B          ,872.25,843.625,77.451,0,675.512,98.052,0.045,0.385,1.35,0.04
407,526,HHTA1B          ,870.875,841.25,91.908,0,681.349,97.135,0.045,0.385,1.35,0.04
394,524,HHTA1B          ,869.375,831.75,92.676,2.254,673.417,97.765,0.04,0.39,1.36,0.047
442,550,HHTA1B          ,874.75,841.625,88.889,0,644.52,99.041,0.044,0.385,1.32,0.041
454,571,HHTA1B          ,871.875,820.625,56.489,36.641,684.518,96.198,0.045,0.377,1.3,0.048
505,620,HHTA1B          ,872.25,822.625,96.744,2.326,691.684,93.954,0.044,0.393,1.4,0.05
390,529,HHTA1B          ,869.75,839.875,95.794,0,687.783,86.449,0.045,0.391,1.35,0.042
300,442,HDR09C          ,876.125,832.125,77.656,0,689.997,93.818,0.039,0.334,0.99,0.001
307,458,HDR09C          ,859.25,814.75,47.5,52.5,675.402,94.375,0.045,0.339,1,0.001
389,522,HHTA1B          ,858.375,831.125,98.14,1.86,686.081,58.14,0.038,0.386,1.34,0.043
371,499,HHTA1B          ,862.875,840.625,100,0,695.539,47.642,0.045,0.381,1.32,0.041
455,579,HHTA1B          ,884.25,828.625,83.796,9.259,691.776,91.244,0.045,0.381,1.32,0.041
458,578,HHTA1B          ,879.5,823.875,68.982,23.611,690.037,95.814,0.044,0.393,1.4,0.05
410,534,HHTA1B          ,883.875,830.25,94.393,0.467,692.803,90.654,0.038,0.386,1.34,0.043
424,544,HHTA1B          ,881.5,824.25,92.093,2.791,693.318,93.954,0.045,0.382,1.33,0.044
381,516,HHTA1B          ,870.375,826.375,82.514,13.661,689.546,91.758,0.045,0.394,1.35,0.043
430,559,HHTA1B          ,865.75,832.75,97.664,1.869,691.265,46.262,0.045,0.397,1.3,0.043
412,534,HHTA1B          ,865.125,845.875,99.533,0,693.736,93.458,0.045,0.382,1.33,0.044
385,512,HHTA1B          ,865.25,835.5,99.535,0,696.16,44.186,0.045,0.382,1.33,0.044
394,524,HHTA1B          ,858.625,836.125,100,0,690.316,74.884,0.038,0.386,1.34,0.043
379,534,HHTA1B          ,872.5,851.625,82.133,0,670.285,96.857,0.045,0.385,1.35,0.04
438,570,HHTA1B          ,871.5,847.25,75.926,0,684.168,78.229,0.04,0.384,1.32,0.04
425,551,HHTA1B          ,877.875,837.125,80.147,0,680.764,78.467,0.04,0.384,1.32,0.04
476,594,HHTA1B          ,873.625,834.25,88.93,0.738,665.236,77.289,0.044,0.393,1.4,0.05
469,564,HHTA1B          ,875,842.5,78.435,0,650.114,96.044,0.044,0.39,1.35,0.045
460,563,HHTA1B          ,866.75,810.875,98.089,0.318,647.69,97.306,0.037,0.39,1.33,0.045
426,524,HHTA1B          ,861.75,824,99.523,0.477,643.18,93.354,0.037,0.39,1.33,0.045
460,551,HHTA1B          ,859.5,829.25,99.841,0.159,647.208,98.107,0.044,0.39,1.35,0.045
408,526,HHTA1B          ,869.25,831.125,96.709,0.506,635.864,98.232,0.043,0.404,1.35,0.046
435,547,HHTA1B          ,864.875,845,100,0,685.743,57.836,0.04,0.378,1.31,0.043
423,546,HHTA1B          ,871.25,839.75,95.167,0,682.201,78.148,0.045,0.397,1.3,0.043
364,503,HHTA1B          ,864.125,833.375,49.194,50.806,690.425,88.353,0.037,0.39,1.33,0.045
360,498,HDR09C          ,857.125,818.125,98.491,1.509,672.422,95.113,0.045,0.357,1.1,0.001
369,499,HDR09C          ,864.25,830.25,93.254,0,683.646,82.213,0.04,0.33,0.97,0.001
349,487,HDR09C          ,858.625,836.125,100,0,678.404,95.818,0.038,0.326,0.95,0.001
359,491,HDR09C          ,853,823.625,71.25,28.75,669.564,83.403,0.041,0.342,1,0.001
356,493,HDR09C          ,857.5,832.375,100,0,678.565,96.199,0.039,0.334,0.99,0.001
429,531,HHTA1B          ,863.125,838.625,100,0,648.124,85.615,0.037,0.41,1.36,0.044
446,552,HHTA1B          ,870.125,843.125,96.729,0,645.899,88.657,0.04,0.404,1.37,0.045
418,542,HHTA1B          ,870.625,833.625,96.371,1.613,690.511,84.274,0.044,0.385,1.32,0.041
467,567,HHTA1B          ,875.875,855.25,98.897,0,680.699,69.963,0.045,0.385,1.35,0.045
471,585,HHTA1B          ,879.75,850.625,81.961,0,682.588,63.672,0.045,0.378,1.31,0.045
495,615,HHTA1B          ,874.75,838.125,98.812,1.188,624.396,99.765,0.045,0.403,1.32,0.046
492,586,HHTA1B          ,887.5,848.375,94.41,0,627.18,91.546,0.044,0.385,1.3,0.044
387,511,HHTA1B          ,867.5,840,94.647,0,635.607,99.277,0.041,0.401,1.4,0.042
423,529,HHTA1B          ,879.875,830.5,72.639,4.116,637.047,86.779,0.039,0.392,1.37,0.047
390,511,HHTA1B          ,875.125,844.375,84.262,0,636.801,99.76,0.041,0.401,1.4,0.042
428,536,HHTA1B          ,873.75,843.5,86.75,0,632.279,99.254,0.043,0.392,1.34,0.044
436,528,HHTA1B          ,866.75,837.75,98.786,0,645.75,95.663,0.044,0.385,1.32,0.041
415,525,HHTA1B          ,883.875,830.875,74.731,6.452,650.033,85.067,0.033,0.395,1.36,0.047
430,537,HHTA1B          ,881.625,838.75,75.485,0,637.944,99.759,0.042,0.408,1.35,0.043
431,529,HHTA1B          ,872,834.5,87.339,0.517,636.356,98.715,0.043,0.392,1.34,0.044
481,579,HHTA1B          ,873.375,830.375,98.214,0.357,643.132,96.531,0.043,0.393,1.36,0.044
339,483,HDR09C          ,861,832.25,99.635,0,680.736,40.659,0.045,0.338,1,0.001
339,483,HDR09C          ,861,832.25,99.635,0,680.736,40.659,0.045,0.338,1,0.001
398,526,HHTA1B          ,872.75,839.875,96.744,0,696.129,73.954,0.041,0.387,1.3,0.045
445,568,HHTA1B          ,881.875,844.625,95.572,0.369,664.93,86.081,0.045,0.402,1.33,0.042
418,533,HHTA1B          ,877.5,836.875,72.794,25.368,665.006,80.586,0.045,0.393,1.31,0.047
448,559,HHTA1B          ,874.125,838.5,96.744,3.256,619.143,98.391,0.042,0.394,1.35,0.044
442,555,HHTA1B          ,880.75,832,29.63,67.593,696.589,61.111,0.041,0.388,1.33,0.046
423,529,HHTA1B          ,885.375,856.25,93.597,0,629.521,97.561,0.04,0.401,1.4,0.044
403,528,HHTA1B          ,863,850.375,100,0,683.171,92.222,0.042,0.393,1.4,0.042
486,597,HHTA1B          ,872,837.5,73.611,26.389,690.475,67.13,0.045,0.397,1.36,0.046
411,521,HHTA1B          ,894.875,858.5,96.074,0,622.453,99.876,0.041,0.396,1.38,0.045
408,523,HHTA1B          ,886,832.75,94.951,0.246,639.579,93.921,0.041,0.396,1.38,0.045
326,458,HDR09C          ,865.625,830.5,93.72,0,683.788,96.618,0.041,0.342,1.08,0.001
336,468,HDR09C          ,864.25,827.25,85.096,8.173,688.633,92.823,0.041,0.342,1.08,0.001
440,562,HHTA1B          ,894,847.75,92.453,0,693.601,94.34,0.045,0.4,1.36,0.043
330,464,HDR09C          ,875.5,823.625,86.385,9.39,688.739,95.305,0.041,0.342,1.08,0.001
430,542,HHTA1B          ,890.5,822.75,45.161,52.074,691.719,87.558,0.045,0.385,1.35,0.045
427,547,HHTA1B          ,892,848.125,89.623,0,689.798,47.642,0.043,0.394,1.35,0.042
388,522,HHTA1B          ,876.25,839.625,90.672,8.955,673.964,72.863,0.045,0.399,1.37,0.042
406,532,HHTA1B          ,873.625,838.375,60.93,39.07,681.616,79.167,0.04,0.392,1.34,0.045
431,561,HHTA1B          ,886.625,856.5,92.523,0,684.417,89.202,0.045,0.402,1.33,0.042
462,575,HHTA1B          ,886.625,847,93.382,0,679.959,90.843,0.045,0.397,1.36,0.046
324,467,HDR09C          ,861.75,822.5,90.654,7.944,674.065,89.72,0.038,0.348,1.03,0.001
420,534,HHTA1B          ,885.25,853.625,73.804,0,624.303,100,0.041,0.386,1.31,0.046
420,534,HHTA1B          ,885.25,853.625,73.804,0,624.303,100,0.041,0.386,1.31,0.046
428,539,HHTA1B          ,890.75,851.5,92.352,0,624.714,94.118,0.041,0.386,1.31,0.046
